n,mean,dev
0,52.5774,35.3591
1,70.728,18.8961
2,58.1066,31.9265
3,64.5024,25.5847
4,54.3282,33.9573
5,64.1536,26.9351
6,71.8829,14.8903
7,63.4289,26.182
8,61.5464,29.2978
9,64.8914,23.4119
10,63.6112,26.8241
11,69.3963,20.6387
12,54.3655,33.1196
13,63.6705,26.9791
14,66.8862,23.0752
15,51.5154,34.1789
16,57.9072,31.7759
17,64.1034,24.1727
18,66.9476,24.4056
19,63.2746,25.0765
20,53.7832,35.1887
21,60.2716,29.3417
22,57.3872,32.3479
23,58.0669,31.4445
24,57.2059,31.0556
25,63.3561,26.1748
26,53.4139,33.7095
27,74.545,12.2877
28,63.6457,26.4633
29,66.9618,21.0409
30,61.5923,30.5517
31,67.8526,21.5757
32,61.769,29.8212
33,69.4825,19.7432
34,65.5041,24.2988
35,62.2247,28.3326
36,61.6095,30.0833
37,54.9568,33.0755
38,52.1736,33.9753
39,60.5049,30.5942
40,56.6803,32.118
41,56.1427,33.585
42,60.9493,28.7576
43,58.8624,30.2653
44,43.2444,40.9052
45,54.6025,34.1661
46,67.2806,22.8237
47,56.7057,30.8963
48,59.5627,31.3156
49,67.6532,22.8638
50,48.7649,38.2252
51,63.1431,27.2626
52,60.3528,30.089
53,63.6934,23.037
54,62.4629,29.0736
55,57.296,33.5332
56,57.8286,32.3037
57,63.2132,27.2707
58,63.0329,24.9547
59,64.3209,23.5674
60,62.0051,29.3062
61,64.791,27.7816
62,62.3337,27.2531
63,56.7579,30.6804
64,52.493,36.3715
65,63.8637,25.5336
66,58.3912,30.7072
67,58.9976,31.0999
68,74.0225,14.9014
69,58.5418,30.818
70,60.816,29.0399
71,63.1836,25.8524
72,64.167,25.3632
73,59.1732,31.8395
74,60.6802,30.166
ave,61.06854666666668,28.28694399999999
